y00468,Taiga/Tundra Bean Goose (Bean Goose),292,slash
brant,Brent Goose,296,species
dabbra1,Brent Goose (Dark-bellied),297,issf
atlbra1,Brent Goose (Pale-bellied),298,issf
blkbra1,Brent Goose (Black),299,issf
gybbra1,Brent Goose (Gray-bellied),300,form
brant2,Brent Goose (Dark-bellied x Black),301,intergrade
brant1,Brent Goose (Pale-bellied x Black),302,intergrade
x00685,Snow x Brent Goose (hybrid),303,hybrid
x00722,Brent x Cackling Goose (hybrid),321,hybrid
tunswa,Bewick's Swan,365,species
tunswa1,Bewick's Swan (Whistling),366,issf
bewswa1,Bewick's Swan (Bewick's),367,issf
tunswa2,Bewick's Swan (Whistling x Bewick's),368,intergrade
x00418,Trumpeter x Whistling Swan (hybrid),369,hybrid
y00471,Trumpeter/Whistling Swan,370,slash
y00708,Bewick's/Whooper Swan,374,slash
gnwtea,Eurasian/Green-winged Teal,574,species
egwtea1,Eurasian Teal,575,issf
agwtea1,Green-winged Teal,576,issf
gnwtea1,Eurasian x Green-winged Teal (hybrid),577,intergrade
x00371,Garganey x Eurasian/Green-winged Teal (hybrid),579,hybrid
x00372,Eurasian Wigeon x Eurasian Teal (hybrid),583,hybrid
y00766,Garganey/Eurasian/Green-winged Teal,587,slash
commer,Goosander,720,species
goosan1,Goosander (Eurasian),721,issf
commer1,Goosander (American),724,issf
x00840,Common Eider x Goosander (hybrid),725,hybrid
x00726,Hooded Merganser x Goosander (hybrid),726,hybrid
x00780,Goosander x Red-breasted Merganser (hybrid),730,hybrid
y00224,Goosander/Red-breasted Merganser,731,slash
wilpta,Red Grouse/Willow Grouse,1297,species
wilpta1,Red Grouse,1298,issf
wilpta2,Willow Grouse (Arctic),1299,issf
rinphe1,Common Pheasant,1420,species
rinphe37,Common Pheasant (Domestic type),1451,domestic
x01018,Common x Green Pheasant (hybrid),1456,hybrid
rinphe,Common/Green Pheasant,1457,slash
horgre,Slavonian Grebe,1842,species
eargre,Black-necked Grebe,1852,species
y00229,Slavonian/Black-necked Grebe,1856,slash
rocpig,Rock Dove,1874,species
rocpig2,Rock Dove (Wild type),1875,form
rocpig1,Feral Pigeon,1889,domestic
y01112,Rock Dove/Hill Pigeon,1893,slash
cowpig1,Common Woodpigeon,1906,species
comwop1,Common Woodpigeon (White-necked),1907,issf
comwop2,Common Woodpigeon (Cinnamon-necked),1912,issf
mauwop1,Mauritius Woodpigeon,1925,species
spwpig1,Speckled Woodpigeon,1927,species
aswpig1,Ashy Woodpigeon,1929,species
niwpig1,Nilgiri Woodpigeon,1930,species
ceywop1,Sri Lanka Woodpigeon,1931,species
siwpig1,Silvery Woodpigeon,1933,species
anwpig1,Andaman Woodpigeon,1934,species
jawpig1,Japanese Woodpigeon,1935,species
y00319,Rock Dove/Band-tailed Pigeon,1996,slash
ortdov,Rufous Turtle Dove,2042,species
eucdov,Collared Dove,2051,species
x00382,European Turtle x Collared Dove (hybrid),2052,hybrid
x01084,Oriental Turtle x Collared Dove (hybrid),2053,hybrid
y01178,Collared/Burmese Collared Dove,2055,slash
x00799,Collared Dove x African Collared Dove (hybrid),2060,hybrid
y00851,Collared Dove/African Collared Dove,2061,slash
y01078,Collared/Red Collared Dove,2082,slash
corcra,Corncrake,5296,species
commoo3,Common Moorhen,5436,species
comgal1,American Moorhen,5442,species
commoo2,American Moorhen (American),5443,issf
comgal2,American Moorhen (Altiplano),5449,issf
commoo1,American Moorhen (Hawaiian),5450,issf
commoo,Common/American Moorhen,5451,slash
x00390,American Moorhen x American Coot (hybrid),5479,hybrid
eutkne1,Stone-curlew,5722,species
bkbplo,Gray Plover,5782,species
y00494,Gray Plover/golden plover sp.,5790,spuh
litcur,Little Whimbrel,5986,species
bktgod1,Black-tailed Godwit (Icelandic),6010,issf
bktgod2,Black-tailed Godwit (Continental),6011,issf
redpha1,Gray Phalarope,6085,species
y00635,Gray/Red-necked Phalarope,6087,slash
lotjae,Long-tailed Skua,6318,species
parjae,Arctic Skua,6321,species
y00481,Long-tailed/Arctic Skua,6322,slash
pomjae,Pomarine Skua,6323,species
y00480,Long-tailed/Pomarine Skua,6324,slash
y00479,Arctic/Pomarine Skua,6325,slash
jaeger,Pomarine/Parasitic/Long-tailed Skua,6333,spuh
skua,large skua sp. (Catharacta sp.),6334,spuh
y00615,skua sp.,6335,spuh
doveki,Little Auk,6376,species
thbmur,Brünnich's Guillemot,6379,species
commur,Common Guillemot,6384,species
x00793,Brünnich's x Common Guillemot (hybrid),6390,hybrid
