ostric2,Common Ostrich,2,species
ostric3,Somali Ostrich,7,species
y00934,Common/Somali Ostrich,8,slash
grerhe1,Greater Rhea,10,species
lesrhe2,Lesser Rhea,16,species
lesrhe4,Lesser Rhea (Puna),17,issf
lesrhe3,Lesser Rhea (Darwin's),20,issf
tabtin1,Tawny-breasted Tinamou,22,species
higtin1,Highland Tinamou,23,species
higtin2,Highland Tinamou (South American),24,issf
higtin3,Highland Tinamou (Costa Rican),29,issf
hootin1,Hooded Tinamou,30,species
grytin1,Gray Tinamou,33,species
soltin1,Solitary Tinamou,38,species
blatin1,Black Tinamou,39,species
gretin1,Great Tinamou,42,species
whttin1,White-throated Tinamou,55,species
tinamu1,Tinamus sp.,56,spuh
cintin1,Cinereous Tinamou,57,species
bertin1,Berlepsch's Tinamou,58,species
littin1,Little Tinamou,59,species
teptin1,Tepui Tinamou,74,species
brotin1,Brown Tinamou,75,species
brntin1,Brown Tinamou (castaneus),76,issf
brntin2,Brown Tinamou (Brown),77,issf
undtin1,Undulated Tinamou,86,species
pabtin1,Pale-browed Tinamou,93,species
bratin1,Brazilian Tinamou,94,species
gyltin1,Gray-legged Tinamou,95,species
reltin1,Red-legged Tinamou,96,species
yeltin1,Yellow-legged Tinamou,104,species
yeltin2,Yellow-legged Tinamou (zabele),105,issf
yeltin3,Yellow-legged Tinamou (noctivagus),106,issf
blctin1,Black-capped Tinamou,107,species
slbtin1,Slaty-breasted Tinamou,110,species
chotin1,Choco Tinamou,113,species
vartin1,Variegated Tinamou,114,species
thitin1,Thicket Tinamou,115,species
thitin2,Thicket Tinamou (occidentalis),116,issf
thitin3,Thicket Tinamou (cinnamomeus Group),117,issf
rustin1,Rusty Tinamou,126,species
bartin2,Bartlett's Tinamou,127,species
smbtin1,Small-billed Tinamou,128,species
bartin1,Barred Tinamou,129,species
tattin1,Tataupa Tinamou,130,species
cryptu1,Crypturellus sp.,135,spuh
rewtin1,Red-winged Tinamou,136,species
huatin1,Huayco Tinamou,140,species
tactin1,Taczanowski's Tinamou,141,species
orntin1,Ornate Tinamou,142,species
chitin1,Chilean Tinamou,146,species
brutin1,Brushland Tinamou,149,species
andtin1,Andean Tinamou,152,species
cubtin1,Curve-billed Tinamou,161,species
nothop1,Nothoprocta sp.,164,spuh
whbnot1,White-bellied Nothura,165,species
lesnot1,Lesser Nothura,166,species
darnot1,Darwin's Nothura,167,species
sponot1,Spotted Nothura,173,species
y01225,White-bellied/Spotted Nothura,183,slash
y01226,Lesser/Spotted Nothura,184,slash
dwatin1,Dwarf Tinamou,185,species
elctin1,Elegant Crested-Tinamou,186,species
quctin1,Quebracho Crested-Tinamou,197,species
puntin1,Puna Tinamou,200,species
pattin1,Patagonian Tinamou,201,species
tinamo1,tinamou sp.,202,spuh
soucas1,Southern Cassowary,204,species
dwacas1,Dwarf Cassowary,205,species
norcas1,Northern Cassowary,206,species
emu1,Emu,207,species
sobkiw1,Southern Brown Kiwi,213,species
sobkiw2,Southern Brown Kiwi (South I.),214,issf
sobkiw3,Southern Brown Kiwi (Stewart I.),215,issf
okbkiw1,Okarito Brown Kiwi,216,species
nibkiw1,North Island Brown Kiwi,217,species
liskiw1,Little Spotted Kiwi,218,species
x01059,Okarito Brown x Little Spotted Kiwi (hybrid),219,hybrid
grskiw1,Great Spotted Kiwi,220,species
kiwi1,kiwi sp.,221,spuh
horscr1,Horned Screamer,223,species
souscr1,Southern Screamer,224,species
norscr1,Northern Screamer,225,species
maggoo1,Magpie Goose,227,species
spwduc1,Spotted Whistling-Duck,229,species
plwduc1,Plumed Whistling-Duck,230,species
wfwduc1,White-faced Whistling-Duck,231,species
x00721,Spotted x White-faced Whistling-Duck (hybrid),232,hybrid
bbwduc,Black-bellied Whistling-Duck,233,species
bkbwhd1,Black-bellied Whistling-Duck (fulgens),234,issf
bkbwhd2,Black-bellied Whistling-Duck (autumnalis),235,issf
wiwduc1,West Indian Whistling-Duck,236,species
x00775,Black-bellied x West Indian Whistling-Duck (hybrid),237,hybrid
fuwduc,Fulvous Whistling-Duck,238,species
x00938,White-faced x Fulvous Whistling-Duck (hybrid),239,hybrid
x00875,Black-bellied x Fulvous Whistling-Duck (hybrid),240,hybrid
wawduc1,Wandering Whistling-Duck,241,species
x00990,Plumed x Wandering Whistling-Duck (hybrid),245,hybrid
y01227,Plumed/Wandering Whistling-Duck,246,slash
lewduc1,Lesser Whistling-Duck,247,species
y01080,Fulvous/Lesser Whistling-Duck,248,slash
x00360,Wandering x Lesser Whistling-Duck (hybrid),249,hybrid
whistl1,whistling-duck sp.,250,spuh
whbduc1,White-backed Duck,251,species
bahgoo,Bar-headed Goose,254,species
empgoo,Emperor Goose,255,species
snogoo,Snow Goose,256,species
x00991,Bar-headed x Snow Goose (hybrid),259,hybrid
rosgoo,Ross's Goose,260,species
sxrgoo1,Snow x Ross's Goose (hybrid),261,hybrid
y00469,Snow/Ross's Goose,262,slash
gragoo,Graylag Goose,263,species
gragoo2,Graylag Goose (European),264,issf
gragoo3,Graylag Goose (Siberian),265,issf
gragoo1,Graylag Goose (Domestic type),266,domestic
x00992,Bar-headed x Graylag Goose (hybrid),267,hybrid
swagoo1,Swan Goose,268,species
swagoo2,Swan Goose (Domestic type),269,domestic
x00776,Graylag x Swan Goose (hybrid),270,hybrid
gwfgoo,Greater White-fronted Goose,271,species
gwfgoo1,Greater White-fronted Goose (Greenland),272,issf
gwfgoo4,Greater White-fronted Goose (Eurasian),273,issf
gwfgoo2,Greater White-fronted Goose (Western),274,issf
gwfgoo3,Greater White-fronted Goose (Tule),277,issf
x00755,Bar-headed x Greater White-fronted Goose (hybrid),278,hybrid
x00361,Emperor x Greater White-fronted Goose (hybrid),279,hybrid
x00627,Snow x Greater White-fronted Goose (hybrid),280,hybrid
x00362,Ross's x Greater White-fronted Goose (hybrid),281,hybrid
lwfgoo,Lesser White-fronted Goose,282,species
y00707,Greater/Lesser White-fronted Goose,283,slash
taibeg1,Taiga Bean-Goose,284,species
tunbeg1,Tundra Bean-Goose,288,species
x01089,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),291,hybrid
y00468,Taiga/Tundra Bean-Goose,292,slash
pifgoo,Pink-footed Goose,293,species
domgoo1,Domestic goose sp. (Domestic type),294,domestic
anser1,Anser sp.,295,spuh
brant,Brant,296,species
dabbra1,Brant (Dark-bellied),297,issf
atlbra1,Brant (Atlantic),298,issf
blkbra1,Brant (Black),299,issf
gybbra1,Brant (Gray-bellied),300,form
brant2,Brant (Dark-bellied x Black),301,intergrade
brant1,Brant (Atlantic x Black),302,intergrade
x00685,Snow Goose x Brant (hybrid),303,hybrid
bargoo,Barnacle Goose,304,species
x00363,Bar-headed x Barnacle Goose (hybrid),305,hybrid
x00993,Emperor x Barnacle Goose (hybrid),306,hybrid
x00994,Snow x Barnacle Goose (hybrid),307,hybrid
x00995,Ross's x Barnacle Goose (hybrid),308,hybrid
x00649,Graylag x Barnacle Goose (hybrid),309,hybrid
x00757,Greater White-fronted x Barnacle Goose (hybrid),310,hybrid
x00364,Lesser White-fronted x Barnacle Goose (hybrid),311,hybrid
x00756,Pink-footed x Barnacle Goose (hybrid),312,hybrid
cacgoo1,Cackling Goose,313,species
alcgoo1,Cackling Goose (Aleutian),314,issf
ricgoo1,Cackling Goose (Richardson's),315,issf
cacgoo2,Cackling Goose (minima),316,issf
tacgoo1,Cackling Goose (Taverner's),317,issf
x00831,Emperor x Cackling Goose (hybrid),318,hybrid
x00692,Snow x Cackling Goose (hybrid),319,hybrid
x00694,Ross's x Cackling Goose (hybrid),320,hybrid
x00722,Brant x Cackling Goose (hybrid),321,hybrid
x00414,Greater White-fronted x Cackling Goose (hybrid),322,hybrid
x00416,Barnacle x Cackling Goose (hybrid),323,hybrid
cangoo,Canada Goose,324,species
cangoo4,Canada Goose (moffitti/maxima),325,issf
cangoo3,Canada Goose (occidentalis/fulva),328,issf
cangoo1,Canada Goose (canadensis Group),331,issf
x00908,Bar-headed x Canada Goose (hybrid),335,hybrid
swagoo3,Swan Goose x Canada Goose (hybrid),336,hybrid
x00650,Pink-footed x Canada Goose (hybrid),337,hybrid
x00415,Greater White-fronted x Canada Goose (hybrid),338,hybrid
x01088,Greater White-fronted x Cackling/Canada Goose (hybrid),339,hybrid
x00758,Graylag x Canada Goose (hybrid),340,hybrid
x00759,Domestic goose sp. x Canada Goose (hybrid),341,hybrid
x00197,Snow x Canada Goose (hybrid),342,hybrid
x00693,Ross's x Canada Goose (hybrid),343,hybrid
x00417,Barnacle x Canada Goose (hybrid),344,hybrid
y00470,Cackling/Canada Goose,345,slash
y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),346,hybrid
hawgoo,Hawaiian Goose,347,species
rebgoo1,Red-breasted Goose,348,species
x00939,Greater White-fronted x Red-breasted Goose (hybrid),349,hybrid
x00996,Brant x Red-breasted Goose (hybrid),350,hybrid
x00365,Barnacle x Red-breasted Goose (hybrid),351,hybrid
branta1,Branta sp.,352,spuh
cabgoo1,Cape Barren Goose,353,species
freduc1,Freckled Duck,356,species
buwgoo1,Blue-winged Goose,357,species
mutswa,Mute Swan,358,species
x00366,Graylag Goose x Mute Swan (hybrid),359,hybrid
blkswa,Black Swan,360,species
x01037,Mute x Black Swan (hybrid),361,hybrid
blnswa2,Black-necked Swan,362,species
truswa,Trumpeter Swan,363,species
x00832,Mute x Trumpeter Swan (hybrid),364,hybrid
tunswa,Tundra Swan,365,species
tunswa1,Tundra Swan (Whistling),366,issf
bewswa1,Tundra Swan (Bewick's),367,issf
tunswa2,Tundra Swan (Whistling x Bewick's),368,intergrade
x00418,Trumpeter x Tundra Swan (hybrid),369,hybrid
y00471,Trumpeter/Tundra Swan,370,slash
whoswa,Whooper Swan,371,species
x00997,Mute x Whooper Swan (hybrid),372,hybrid
x00419,Trumpeter x Whooper Swan (hybrid),373,hybrid
y00708,Tundra/Whooper Swan,374,slash
swan1,swan sp.,375,spuh
cosswa1,Coscoroba Swan,376,species
comduc2,Knob-billed Duck,377,species
comduc3,Comb Duck,378,species
harduc1,Hartlaub's Duck,379,species
origoo1,Orinoco Goose,380,species
andgoo1,Andean Goose,381,species
uplgoo1,Upland Goose,382,species
uplgoo2,Upland Goose (White-breasted),385,form
uplgoo3,Upland Goose (Bar-breasted),386,form
kelgoo1,Kelp Goose,387,species
ashgoo1,Ashy-headed Goose,390,species
ruhgoo1,Ruddy-headed Goose,391,species
chloep1,Chloephaga sp.,392,spuh
goose1,goose sp.,393,spuh
radshe1,Radjah Shelduck,394,species
egygoo,Egyptian Goose,397,species
maushe1,Mauritius Shelduck,398,species
reushe1,Reunion Shelduck,399,species
rudshe,Ruddy Shelduck,400,species
x00367,Egyptian Goose x Ruddy Shelduck (hybrid),401,hybrid
soashe1,South African Shelduck,402,species
ausshe1,Australian Shelduck,403,species
parshe1,Paradise Shelduck,404,species
comshe,Common Shelduck,405,species
x00876,Ruddy x Common Shelduck (hybrid),406,hybrid
creshe1,Crested Shelduck,407,species
spwgoo1,Spur-winged Goose,408,species
spwgoo2,Spur-winged Goose (Northern),409,issf
spwgoo3,Spur-winged Goose (Southern),410,issf
flystd1,Flying Steamer-Duck,411,species
flistd1,Flightless Steamer-Duck,412,species
flistd2,Flightless Steamer-Duck (Chiloe form),413,form
falstd1,Falkland Steamer-Duck,414,species
falstd2,Falkland Steamer-Duck (Flightless),415,form
falstd3,Falkland Steamer-Duck (Flying),416,form
whhstd1,White-headed Steamer-Duck,417,species
steame1,steamer-duck sp.,418,spuh
creduc1,Crested Duck,419,species
speduc2,Spectacled Duck,422,species
musduc,Muscovy Duck,423,species
musduc3,Muscovy Duck (Domestic type),424,domestic
x01045,Egyptian Goose x Muscovy Duck (hybrid),425,hybrid
grnpyg1,Green Pygmy-Goose,426,species
copgoo1,Cotton Pygmy-Goose,427,species
y01228,Green/Cotton Pygmy-Goose,430,slash
afrpyg1,African Pygmy-Goose,431,species
rintea1,Ringed Teal,432,species
wooduc,Wood Duck,433,species
x00940,Common Shelduck x Wood Duck (hybrid),434,hybrid
manduc,Mandarin Duck,435,species
x00833,Wood x Mandarin Duck (hybrid),436,hybrid
manduc1,Maned Duck,437,species
finduc1,Finsch's Duck,438,species
bratea1,Brazilian Teal,439,species
bluduc1,Blue Duck,442,species
torduc1,Torrent Duck,445,species
saltea1,Salvadori's Teal,452,species
baitea,Baikal Teal,453,species
gargan,Garganey,454,species
hottea1,Blue-billed Teal,455,species
siltea1,Silver Teal,456,species
puntea1,Puna Teal,459,species
buwtea,Blue-winged Teal,460,species
cintea,Cinnamon Teal,461,species
bwxtea1,Blue-winged x Cinnamon Teal (hybrid),467,hybrid
y00314,Blue-winged/Cinnamon Teal,468,slash
redsho1,Red Shoveler,469,species
capsho1,Cape Shoveler,470,species
aussho1,Australasian Shoveler,471,species
norsho,Northern Shoveler,474,species
x00836,Garganey x Northern Shoveler (hybrid),475,hybrid
x00629,Blue-winged Teal x Northern Shoveler (hybrid),476,hybrid
x00630,Cinnamon Teal x Northern Shoveler (hybrid),477,hybrid
gadwal,Gadwall,478,species
gadwal1,Gadwall (Common),479,issf
gadwal2,Gadwall (Coues's),480,issf
x00457,Northern Shoveler x Gadwall (hybrid),481,hybrid
falduc,Falcated Duck,482,species
x00368,Baikal Teal x Falcated Duck (hybrid),483,hybrid
x00369,Gadwall x Falcated Duck (hybrid),484,hybrid
eurwig,Eurasian Wigeon,485,species
x00723,Gadwall x Eurasian Wigeon (hybrid),486,hybrid
amewig,American Wigeon,487,species
x00877,Wood Duck x American Wigeon (hybrid),488,hybrid
x00370,Blue-winged Teal x American Wigeon (hybrid),489,hybrid
